loop:1,season:59346890,P_air:0.04944257764044381,P_ice:0.01102584117344142,P_rego:0.03953158118611478,T_sub:164.303173857114
80,249.158777369796,0,243.5774893444965,0,246.6325029873142,0
81,248.9017143576987,0,243.1785335535893,0,246.5328316631826,0
82,248.6300130086356,0,242.7668610766022,0,246.4200118449801,0
83,248.3437524540409,0,242.3425960956663,0,246.2940166752988,0
84,248.0430178514173,0,241.905867851162,0,246.1548038377441,0
85,247.7279005174847,0,241.4568606268546,0,246.0023694547145,0
86,247.3984979078312,0,240.9956976217765,0,245.8367272796172,0
87,247.0549131737174,0,240.5225597632621,0,245.6578571320515,0
88,246.6972541899653,0,240.0376206944612,0,245.4658083614784,0
89,246.3256325201708,0,239.5410383831026,0,245.2605724644228,0
90,245.9401630703848,0,239.0330119971856,0,245.0422161628964,0
91,245.5409644979763,0,238.5136953730931,0,244.8107396189938,0
92,245.1281598782846,0,237.9832990912755,0,244.5662258266956,0
93,244.7018772238308,0,237.4419717083223,0,244.3086896070377,0
94,244.2622497601995,0,236.8898974824229,0,244.038211889101,0
95,243.8094160181855,0,236.3271675370904,0,243.7548558753314,0
96,243.343519727181,0,235.75383491186,0,243.4586715930466,0
97,242.8647087987227,0,235.169762613789,0,243.1497722211345,0
98,242.373128481677,0,234.5745437809232,0,242.8282027491506,0
99,241.8688817823832,0,233.967221067238,0,242.4940245731389,0
100,241.3518388623478,0,233.3459069597881,0,242.1471130279216,0
101,240.820905932517,0,232.7064531104994,0,241.7864342624478,0
102,240.2719504660903,0,232.0393042044725,0,241.4081607026324,0
103,239.6940986249105,0,231.3228609562315,0,241.001563685835,0
104,239.0677665600927,0,230.5132635216185,0,240.5464415095122,0
105,238.3698577276528,0,229.5608728704609,0,240.0195089537123,0
106,237.5762721840353,0,228.4869185230193,0,239.3970051261013,0
107,236.6610409872638,0,227.2651188902825,0,238.6540722016553,0
108,235.5952753492759,0,225.8668057225753,0,237.765328907741,0
109,234.3464088601434,0,224.2693913195536,0,236.7077781854494,0
110,232.8775242908659,0,222.465807731243,0,235.4676552913988,0
111,231.1466192009547,0,220.4823556424303,0,234.0549835579586,0
112,229.1481231059887,0,218.4059121549705,0,232.5266171355802,0
113,227.0898944644171,0,216.3061088724233,0,230.8927851324929,0
114,225.0041280986774,0,214.1879193241778,0,229.050713545483,0
115,222.8920905190724,0,212.0534045217293,0,227.1347829714955,0
116,220.7547278443879,0,209.9048258713244,0,225.192241133916,0
117,218.5929746405336,0,207.7447818951817,0,223.2239170854825,0
118,216.407765746966,0,205.5762831799703,0,221.2306353729576,0
119,214.2000428865262,0,203.4028242173376,0,219.2132785926671,0
120,211.9707598249715,0,201.2284866819699,0,217.1727885978506,0
121,209.7208865998254,0,199.0579662476343,0,215.1100224481436,0
122,207.4514131508314,0,196.8965569146029,0,213.0258533183663,0
123,205.1633526397093,0,194.7497178307887,0,210.9212369676426,0
124,202.8577445826342,0,192.6220101320984,0,208.7972229391302,0
125,200.5356579004415,0,190.5131430177112,0,206.6547573641673,0
126,198.1981940734641,0,188.403515172111,0,204.4948113637711,0
127,195.8464904859848,0,186.2821658773178,0,202.3184422900895,0
128,193.4817239888772,0,184.1501826794811,0,200.1268946942522,0
129,191.1051148240984,0,182.0086942170526,0,197.9212530202495,0
130,188.7179310371998,0,179.8588745052996,0,195.7026190294389,0
131,186.3214934692592,0,177.701947766088,0,193.4721783612013,0
132,183.917181786267,0,175.5391940589494,0,191.2315174641943,0
133,181.506446856638,0,173.3719585293724,0,188.9819153289291,0
134,179.090891200741,0,171.2016993598629,0,186.724613922513,0
135,176.6730142062368,0,169.0304601251996,0,184.4616054050762,0
136,174.2617764008326,0,166.7977522059496,0,182.2005129039155,0
137,171.895253260735,0,164.303230747437,159.0244968108167,179.9768661414622,0
138,169.5361722352875,0,164.303230747437,420.2952353107766,177.8783825918196,0
139,164.303173857114,217.5193175665243,164.303230747437,652.3727728930152,174.5592005802156,0
