loop:1,season:59346890,P_air:4.994774198294836,P_ice:9.513011769334927e-06,P_rego:0.005216288693394261,T_sub:214.2944855693002
36,339.2623679480911,0,342.6590345643519,0,332.9003863113991,0
37,341.7912824969841,0,345.1343759098733,0,335.5009527814881,0
38,344.2999859492325,0,347.5872240129619,0,338.0819604431497,0
39,346.7867689403116,0,350.0159388493332,0,340.6417302334543,0
40,349.2499720695237,0,352.4189284986662,0,343.1786303114808,0
41,351.6879852783159,0,354.7946485796021,0,345.6910755054456,0
42,354.0992470728854,0,357.1416015373076,0,348.1775266127291,0
43,356.4822436354738,0,359.4583358253255,0,350.6364895943825,0
44,358.8355078596265,0,361.7434450147546,0,353.0665146972672,0
45,361.1576183373422,0,363.9955668569991,0,355.4661955300001,0
46,363.4471983201555,0,366.2133823208061,0,357.8341681134272,0
47,365.702914671439,0,368.3956146197893,0,360.169109921848,0
48,367.9234768233833,0,370.5410282431386,0,362.4697389276581,0
49,370.1076357490242,0,372.6484279992744,0,364.7348126591698,0
50,372.2541829572071,0,374.7166580799027,0,366.9631272790674,0
51,374.3619495163724,0,376.7446011500202,0,369.1535166890452,0
52,376.4298051114403,0,378.7311774679463,0,371.3048516646947,0
53,378.4566571367665,0,380.6753440382387,0,373.41603902349,0
54,380.4414498271453,0,382.5760937993735,0,375.4860208277568,0
55,382.3831634279686,0,384.4324548472987,0,377.5137736237263,0
56,384.2808134050458,0,386.2434896953898,0,379.4983077171864,0
57,386.1334496940417,0,388.0082945708151,0,381.4386664857532,0
58,387.9401559891256,0,389.7259987469692,0,383.3339257274026,0
59,389.7000490700942,0,391.3957639113499,0,385.1831930446423,0
60,391.412278167023,0,393.0167835680242,0,386.9856072634436,0
61,393.0760243613117,0,394.5882824736674,0,388.7403378859444,0
62,394.6905000218992,0,396.1095161060711,0,390.4465845757744,0
63,396.2549482753057,0,397.5797701638697,0,392.1035766748031,0
64,397.7686425081455,0,398.9983600963086,0,393.7105727500564,0
65,399.2308859007188,0,400.3646306617104,0,395.266860169525,0
66,400.6410109902813,0,401.6779555134082,0,396.7717547055628,0
67,401.9983792626152,0,402.9377368118521,0,398.2246001646402,0
68,403.3023807705484,0,404.1434048616592,0,399.6247680421625,0
69,404.5524337781013,0,405.2944177723901,0,400.9716572011549,0
70,405.7479844289912,0,406.3902611418667,0,402.2646935736382,0
71,406.8885064382627,0,407.4304477609138,0,403.5033298835377,0
72,407.9735008058756,0,408.4145173384386,0,404.6870453900669,0
73,409.0024955511362,0,409.3420362458088,0,405.8153456505014,0
