loop:1,season:59345225,P_air:4.994773891758967,P_ice:9.512598621906393e-06,P_rego:0.005216595642412052,T_sub:214.2944847505725
102,413.2888786016508,0,410.6031610744791,0,413.1102060135113,0
103,412.5460464350593,0,409.7585105162852,0,412.4710198518814,0
104,411.7452531800899,0,408.8563619340372,0,411.7735094095768,0
105,410.8868390391646,0,407.8970812029275,0,411.0179782270288,0
106,409.9711701832965,0,406.8810595681039,0,410.2047554853051,0
107,408.9986389281636,0,405.8087137985003,0,409.3341961788252,0
108,407.9696639263213,0,404.6804863556761,0,408.4066813030373,0
109,406.8846903763663,0,403.496845578461,0,407.4226180577851,0
110,405.7441902499453,0,402.2582858842508,0,406.3824400672073,0
111,404.5486625375435,0,400.9653279877584,0,405.2866076170324,0
112,403.29863351405,0,399.6185191382411,0,404.1356079101966,0
113,401.9946570251648,0,398.2184333761174,0,402.9299553417584,0
114,400.6373147957635,0,396.7656718100599,0,401.6701917941522,0
115,399.2272167613859,0,395.260862915619,0,400.3568869538645,0
116,397.7650014240833,0,393.7046628565375,0,398.9906386506497,0
117,396.2513362338909,0,392.097755829931,0,397.572073220474,0
118,394.6869179972477,0,390.4408544365324,0,396.1018458933996,0
119,393.0724733137185,0,388.7347000772908,0,394.5806412076435,0
120,391.4087590423899,0,386.9800633775589,0,393.0091734511008,0
121,389.6965627993465,0,385.1777446401712,0,391.3881871315658,0
122,387.9367034876139,0,383.3285743286904,0,389.7184574769935,0
123,386.1300318609308,0,381.4334135820738,0,388.0007909669777,0
124,384.2774311226858,0,379.4931547619625,0,386.2360258966983,0
125,382.3798175612484,0,377.5087220337381,0,384.4250329744388,0
126,380.4381412228274,0,375.4810719823391,0,382.568715953691,0
127,378.4533866227981,0,373.4111942637153,0,380.6680123007033,0
128,376.4265734962433,0,371.3001122925414,0,378.7238938980938,0
129,374.3587575881065,0,369.1488839665467,0,376.737367784871,0
130,372.2510314830059,0,366.9586024274428,0,374.7094769328573,0
131,370.1045254742014,0,364.7303968579323,0,372.641301058979,0
132,367.9204084706075,0,362.4654333136994,0,370.5339574723242,0
133,365.6998889398741,0,360.1649155884966,0,368.3886019540781,0
134,363.4442158845657,0,357.830086109478,0,366.2064296674842,0
135,361.1546798471591,0,355.4622268587137,0,363.9886760937546,0
136,358.8326139379757,0,353.062660315336,0,361.7366179883778,0
137,356.4793948781609,0,350.632750410863,0,359.451574350369,0
138,354.0964440473397,0,348.1739034879367,0,357.134907394706,0
139,351.6852285224912,0,345.6875692498128,0,354.7880235152496,0
140,349.2472620907552,0,343.1752416843767,0,352.4123742219513,0
141,346.7841062141314,0,340.6384599419654,0,350.0094570316301,0
142,344.2973709181448,0,338.0788091408229,0,347.5808162860795,0
143,341.7887155692031,0,335.4979210670386,0,345.1280438644648,0
144,339.2598494962467,0,332.8974747273842,0,342.6527797482877,0
145,336.712532400889,0,330.2791967026607,0,340.1567123866299,0
146,334.1485744859736,0,327.6448612358407,0,337.6415787959121,0
147,331.5698362145562,0,324.9962899724442,0,335.1091643116071,0
148,328.978227588736,0,322.3353512494074,0,332.5613018881731,0
