USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          29  0.0  0.0      0     0 ?        S    Dec11   0:00 [idle_inject/2]
root          30  0.0  0.0      0     0 ?        S    Dec11   0:01 [migration/2]
root          31  0.0  0.0      0     0 ?        S    Dec11   0:02 [ksoftirqd/2]
root          33  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/2:0H-events_highpri]
root          34  0.0  0.0      0     0 ?        S    Dec11   0:00 [cpuhp/3]
root          35  0.0  0.0      0     0 ?        S    Dec11   0:00 [idle_inject/3]
root          36  0.0  0.0      0     0 ?        S    Dec11   0:00 [migration/3]
root          37  0.0  0.0      0     0 ?        S    Dec11   0:02 [ksoftirqd/3]
root          39  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/3:0H-events_highpri]
root          40  0.0  0.0      0     0 ?        S    Dec11   0:00 [cpuhp/4]
root          41  0.0  0.0      0     0 ?        S    Dec11   0:00 [idle_inject/4]
root          42  0.0  0.0      0     0 ?        S    Dec11   0:01 [migration/4]
root          43  0.0  0.0      0     0 ?        S    Dec11   0:43 [ksoftirqd/4]
root          45  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/4:0H-events_highpri]
root          46  0.0  0.0      0     0 ?        S    Dec11   0:00 [cpuhp/5]
root          47  0.0  0.0      0     0 ?        S    Dec11   0:00 [idle_inject/5]
root          48  0.0  0.0      0     0 ?        S    Dec11   0:01 [migration/5]
root          49  0.0  0.0      0     0 ?        S    Dec11   0:00 [ksoftirqd/5]
root          51  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/5:0H-events_highpri]
root          52  0.0  0.0      0     0 ?        S    Dec11   0:00 [cpuhp/6]
root          53  0.0  0.0      0     0 ?        S    Dec11   0:00 [idle_inject/6]
root          54  0.0  0.0      0     0 ?        S    Dec11   0:00 [migration/6]
root          55  0.0  0.0      0     0 ?        S    Dec11   0:00 [ksoftirqd/6]
root          57  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/6:0H-events_highpri]
root          58  0.0  0.0      0     0 ?        S    Dec11   0:00 [cpuhp/7]
root          59  0.0  0.0      0     0 ?        S    Dec11   0:00 [idle_inject/7]
root          60  0.0  0.0      0     0 ?        S    Dec11   0:00 [migration/7]
root          61  0.0  0.0      0     0 ?        S    Dec11   0:05 [ksoftirqd/7]
root          63  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/7:0H-events_highpri]
root          64  0.0  0.0      0     0 ?        S    Dec11   0:00 [kdevtmpfs]
root          65  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-inet_frag_wq]
root          66  0.0  0.0      0     0 ?        I    Dec11   0:00 [rcu_tasks_kthread]
root          67  0.0  0.0      0     0 ?        I    Dec11   0:00 [rcu_tasks_rude_kthread]
root          68  0.0  0.0      0     0 ?        I    Dec11   0:00 [rcu_tasks_trace_kthread]
root          69  0.0  0.0      0     0 ?        S    Dec11   0:00 [kauditd]
root          70  0.0  0.0      0     0 ?        S    Dec11   0:00 [oom_reaper]
root          72  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-writeback]
root          73  0.0  0.0      0     0 ?        S    Dec11   1:12 [kcompactd0]
root          74  0.0  0.0      0     0 ?        SN   Dec11   0:00 [ksmd]
root          75  0.0  0.0      0     0 ?        SN   Dec11   0:00 [khugepaged]
root          76  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-kblockd]
root          77  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-blkcg_punt_bio]
root          78  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-kintegrityd]
root          80  0.0  0.0      0     0 ?        S    Dec11   0:00 [irq/9-acpi]
root          83  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-tpm_dev_wq]
root          84  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-ata_sff]
root          85  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-md]
root          86  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-md_bitmap]
root          87  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-edac-poller]
root          88  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-devfreq_wq]
root          89  0.0  0.0      0     0 ?        S    Dec11   0:00 [watchdogd]
root          91  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-quota_events_unbound]
root          92  0.0  0.0      0     0 ?        I<   Dec11   0:09 [kworker/4:1H-i915_cleanup]
root          94  0.0  0.0      0     0 ?        S    Dec11   1:23 [kswapd0]
root          95  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-cryptd]
root          98  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-kthrotld]
root         100  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-acpi_thermal_pm]
root         102  0.0  0.0      0     0 ?        S    Dec11   0:01 [hwrng]
root         107  0.0  0.0      0     0 ?        S    Dec11   0:00 [scsi_eh_0]
root         108  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-scsi_tmf_0]
root         109  0.0  0.0      0     0 ?        S    Dec11   0:00 [scsi_eh_1]
root         110  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-scsi_tmf_1]
root         111  0.0  0.0      0     0 ?        S    Dec11   0:00 [scsi_eh_2]
root         112  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-scsi_tmf_2]
root         114  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-dm_bufio_cache]
root         115  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-mld]
root         116  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-ipv6_addrconf]
root         117  0.0  0.0      0     0 ?        I<   Dec11   0:06 [kworker/1:1H-kblockd]
root         119  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-kstrp]
root         196  0.0  0.0      0     0 ?        I<   Dec11   0:09 [kworker/7:1H-kblockd]
root         199  0.0  0.0      0     0 ?        I<   Dec11   0:05 [kworker/2:1H-i915_cleanup]
root         200  0.0  0.0      0     0 ?        I<   Dec11   0:04 [kworker/3:1H-kblockd]
root         244  0.0  0.0      0     0 ?        I<   Dec11   0:07 [kworker/0:1H-kblockd]
root         247  0.0  0.0      0     0 ?        I<   Dec11   0:05 [kworker/5:1H-i915_cleanup]
root         249  0.0  0.0      0     0 ?        I<   Dec11   0:08 [kworker/6:1H-i915_cleanup]
root         327  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-kaluad]
root         346  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-kmpath_rdacd]
root         408  0.0  0.0      0     0 ?        S    Dec11   0:31 [irq/109-ELAN1300:00]
root         423  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-btrfs-worker]
root         424  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-btrfs-delalloc]
root         425  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-btrfs-flush_delalloc]
root         426  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-btrfs-cache]
root         427  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-btrfs-fixup]
root         428  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-btrfs-endio]
root         429  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-btrfs-endio-meta]
root         430  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-btrfs-rmw]
root         431  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-btrfs-endio-write]
root         432  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-btrfs-compressed-write]
root         433  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-btrfs-freespace-write]
root         434  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-btrfs-delayed-meta]
root         435  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-btrfs-qgroup-rescan]
root         436  0.0  0.0      0     0 ?        S    Dec11   0:00 [btrfs-cleaner]
root         437  0.0  0.0      0     0 ?        S    Dec11   1:04 [btrfs-transaction]
root         474  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-ttm]
root         475  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-ttm]
root         476  0.0  0.0      0     0 ?        S    Dec11   0:00 [card2-crtc0]
root         477  0.0  0.0      0     0 ?        S    Dec11   0:00 [card2-crtc1]
root         478  0.0  0.0      0     0 ?        S    Dec11   0:00 [card2-crtc2]
root         547  0.0  0.1  68700 30592 ?        Ss   Dec11   0:03 /usr/lib/systemd/systemd-journald
root         560  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-kmpathd]
root         561  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-kmpath_handlerd]
root         575  0.0  0.0  16576  6608 ?        Ss   Dec11   0:00 /usr/lib/systemd/systemd-userdbd
root         587  0.0  0.0  40476 13256 ?        Ss   Dec11   0:01 /usr/lib/systemd/systemd-udevd
root         590  0.0  0.0      0     0 ?        S    Dec11   0:00 [psimon]
root         661  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-asus_wireless_workqueue]
root         682  0.0  0.0      0     0 ?        S    Dec11   0:00 [jbd2/sda2-8]
root         683  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-ext4-rsv-conversion]
root         697  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-cfg80211]
root         698  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-led_workqueue]
root         707  0.0  0.0      0     0 ?        S    Dec11   0:14 [irq/136-iwlwifi]
systemd+     726  0.0  0.0  17428  8136 ?        Ss   Dec11   2:12 /usr/lib/systemd/systemd-oomd
systemd+     727  0.0  0.1  24432 16636 ?        Ss   Dec11   0:14 /usr/lib/systemd/systemd-resolved
root         732  0.0  0.0  20988  3696 ?        S<sl Dec11   0:00 /usr/bin/auditd
root         789  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-rpciod]
root         790  0.0  0.0      0     0 ?        I<   Dec11   0:00 [kworker/R-xprtiod]
dbus         791  0.0  0.0  13096  6880 ?        Ss   Dec11   0:00 /usr/bin/dbus-broker-launch --scope system --audit
dbus         794  0.0  0.0  14192 10136 ?        S    Dec11   0:11 dbus-broker --log 10 --controller 9 --machine-id 15e26ea859d346bc8c260c8e49a9a7ff --max-bytes 536870912 --max-fds 4096 --max-matches 131072 --audit
avahi        796  0.0  0.0   6624  4756 ?        Ss   Dec11   0:01 avahi-daemon: running [sapphire.local]
root         797  0.0  0.0   9356  5740 ?        Ss   Dec11   0:00 /usr/libexec/bluetooth/bluetoothd
root         800  0.0  0.0 533972  7952 ?        Ssl  Dec11   0:00 /usr/libexec/iio-sensor-proxy
root         803  0.0  0.0 303020  5980 ?        SLsl Dec11   0:00 /usr/libexec/low-memory-monitor
root         805  0.0  0.0   3208  2124 ?        Ss   Dec11   0:00 /usr/sbin/mcelog --daemon --foreground
polkitd      810  0.0  0.0 385108 13508 ?        Ssl  Dec11   0:15 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
rtkit        811  0.0  0.0  21724  3472 ?        SNsl Dec11   0:01 /usr/libexec/rtkit-daemon
root         813  0.0  0.0  10060  5816 ?        Ss   Dec11   0:00 /usr/bin/smartd -n -q never --capabilities=mail
root         814  0.0  0.0 534700  9264 ?        Ssl  Dec11   0:00 /usr/libexec/accounts-daemon
root         815  0.0  0.0 531444  7220 ?        Ssl  Dec11   0:00 /usr/libexec/switcheroo-control
root         817  0.0  0.0  17280  8504 ?        Ss   Dec11   0:02 /usr/lib/systemd/systemd-homed
root         818  0.0  0.0  21136 12596 ?        Ss   Dec11   0:01 /usr/lib/systemd/systemd-logind
root         822  0.0  0.0  17208  8136 ?        Ss   Dec11   0:02 /usr/lib/systemd/systemd-machined
root         824  0.0  0.0 610644  9368 ?        Ssl  Dec11   0:24 /usr/bin/thermald --systemd --dbus-enable --adaptive
root         830  0.0  0.0      0     0 ?        S    Dec11   0:00 [psimon]
root         833  0.0  0.0 542972 12880 ?        Ssl  Dec11   0:11 /usr/libexec/udisks2/udisksd
root         835  0.0  0.0 541884 11280 ?        Ssl  Dec11   0:22 /usr/libexec/upowerd
chrony       850  0.0  0.0  86256  6564 ?        Ss   Dec11   0:00 /usr/sbin/chronyd -n -F 2
root         855  0.0  0.0      0     0 ?        S    Dec11   0:00 [psimon]
root         860  0.0  0.0 553756 14272 ?        Ssl  Dec11   0:00 /usr/sbin/abrtd -d -s
avahi        870  0.0  0.0   6492  1612 ?        S    Dec11   0:00 avahi-daemon: chroot helper
root         918  0.0  0.0 391348 13432 ?        Ssl  Dec11   0:00 /usr/bin/ModemManager
root         921  0.0  0.2 601836 38096 ?        Ssl  Dec11   0:01 /usr/bin/python3 -sP /usr/bin/firewalld --nofork --nopid
root         927  0.0  0.1 1127300 25520 ?       Ss   Dec11   0:00 /usr/bin/abrt-dump-journal-core -D -T -f -e
root         929  0.0  0.1 1126664 24512 ?       Ss   Dec11   0:00 /usr/bin/abrt-dump-journal-oops -fxtD
root         930  0.0  0.1 1126532 23152 ?       Ss   Dec11   0:00 /usr/bin/abrt-dump-journal-xorg -fxtD
root        1006  0.0  0.1 560096 22756 ?        Ssl  Dec11   0:24 /usr/bin/NetworkManager --no-daemon
root        1028  0.0  0.0  16764 10960 ?        Ss   Dec11   0:05 /usr/sbin/wpa_supplicant -c /etc/wpa_supplicant/wpa_supplicant.conf -u -s
root        1047  0.0  0.0 282364  8248 ?        Ssl  Dec11   0:01 /usr/bin/gssproxy -i
root        1051  0.0  0.1 499752 27980 ?        Ssl  Dec11   0:16 /usr/bin/python3 -Es /usr/sbin/tuned -l -P
colord      1060  0.0  0.0 538680 12268 ?        Ssl  Dec11   0:00 /usr/libexec/colord
root        1075  0.0  0.1 498264 27872 ?        Ssl  Dec11   0:08 /usr/bin/python3 -Es /usr/sbin/tuned-ppd -l
root        1087  0.0  0.0 609288 10540 ?        Ssl  Dec11   0:02 /usr/bin/gdm
root        1121  0.0  0.0 306152  7540 ?        Ssl  Dec11   0:00 /usr/libexec/uresourced
root        1238  0.0  0.0      0     0 ?        S<   Dec11   0:00 [krfcommd]
root        1411  0.0  0.0 1944544 11704 ?       Ssl  Dec11   0:02 /usr/bin/pcscd --foreground --auto-exit
root        2124  0.0  0.0 618988 14892 ?        Sl   Dec11   0:00 gdm-session-worker [pam/gdm-password]
takeru      2371  0.0  0.0 252276 15996 ?        Ss   Dec11   0:11 /usr/lib/systemd/systemd --user --deserialize=9
takeru      2373  0.0  0.0  16920  3080 ?        S    Dec11   0:00 (sd-pam)
takeru      2391  0.0  0.0 407156  7940 ?        SLl  Dec11   0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
takeru      2462  0.0  0.0 391656  6164 tty2     Ssl+ Dec11   0:00 /usr/libexec/gdm-wayland-session /usr/bin/gnome-session
takeru      2468  0.0  0.0   9204  4572 ?        Ss   Dec11   0:00 /usr/bin/dbus-broker-launch --scope user
takeru      2491  0.0  0.0   9688  5744 ?        S    Dec11   0:07 dbus-broker --log 10 --controller 9 --machine-id 15e26ea859d346bc8c260c8e49a9a7ff --max-bytes 100000000000000 --max-fds 25000000000000 --max-matches 5000000000
takeru      2494  0.0  0.0 163812  6108 tty2     Sl+  Dec11   0:00 /usr/libexec/gnome-session-init-worker gnome
takeru      2564  0.0  0.0 311780  5536 ?        Ssl  Dec11   0:00 /usr/libexec/gnome-session-ctl --monitor
takeru      2565  0.0  0.0 382072  9088 ?        Ssl  Dec11   0:03 /usr/libexec/uresourced --user
takeru      2568  0.0  0.0 839316 11460 ?        Ssl  Dec11   0:00 /usr/libexec/gnome-session-service --session=gnome
takeru      2572  0.0  0.0 539928  8852 ?        Ssl  Dec11   0:00 /usr/libexec/gvfsd
takeru      2583  0.0  0.0 613612  6980 ?        Sl   Dec11   0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
takeru      2594  0.0  0.0 398356 14160 ?        S<sl Dec11   5:28 /usr/bin/pipewire
takeru      2595  0.0  0.1 941744 25632 ?        S<sl Dec11   0:09 /usr/bin/wireplumber
takeru      2596  1.3  1.4 7570056 228356 ?      Ssl  Dec11 140:49 /usr/bin/gnome-shell
takeru      2657  0.0  0.0 380892  7740 ?        Ssl  Dec11   0:00 /usr/libexec/at-spi-bus-launcher
takeru      2663  0.0  0.0   8968  4220 ?        S    Dec11   0:00 /usr/bin/dbus-broker-launch --config-file=/usr/share/defaults/at-spi2/accessibility.conf --scope user
takeru      2664  0.0  0.0   7256  3372 ?        S    Dec11   0:00 dbus-broker --log 10 --controller 9 --machine-id 15e26ea859d346bc8c260c8e49a9a7ff --max-bytes 100000000000000 --max-fds 6400000 --max-matches 5000000000
takeru      2665  0.0  0.0 168404  7484 ?        Ssl  Dec11   0:00 /usr/libexec/at-spi2-registryd --use-gnome-session
takeru      2682  0.0  0.0 530828  6308 ?        Ssl  Dec11   0:00 /usr/libexec/xdg-permission-store
takeru      2683  0.0  0.1 881464 22996 ?        Ssl  Dec11   0:00 /usr/libexec/gnome-shell-calendar-server
takeru      2695  0.0  0.0 164400  6808 ?        Ssl  Dec11   0:00 /usr/libexec/dconf-service
takeru      2696  0.0  0.2 1656348 44076 ?       Ssl  Dec11   0:01 /usr/libexec/evolution-source-registry
takeru      2713  0.0  0.1 2917580 25128 ?       Ssl  Dec11   0:01 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
takeru      2748  0.0  0.0 612716 10136 ?        Ssl  Dec11   1:30 /usr/bin/ibus-daemon --panel disable
takeru      2754  0.0  0.0 478808 10028 ?        Ssl  Dec11   0:00 /usr/libexec/gsd-a11y-settings
takeru      2791  0.0  0.0 314692  9372 ?        Sl   Dec11   0:00 /usr/libexec/gsd-disk-utility-notify
takeru      2797  0.0  0.0 617316 10700 ?        Ssl  Dec11   0:00 /usr/libexec/gsd-color
takeru      2801  0.0  0.0 490372 13048 ?        Ssl  Dec11   0:00 /usr/libexec/gsd-datetime
takeru      2804  0.0  0.0 617196 11140 ?        Ssl  Dec11   0:04 /usr/libexec/gsd-housekeeping
takeru      2818  0.0  0.0 606544  7132 ?        Ssl  Dec11   0:00 /usr/libexec/gsd-keyboard
takeru      2822  0.0  0.0 763376 12888 ?        Ssl  Dec11   0:01 /usr/libexec/gsd-media-keys
takeru      2828  0.0  0.0 688416 11912 ?        Ssl  Dec11   0:00 /usr/libexec/gsd-power
takeru      2858  0.0  0.0 559376 14756 ?        Ssl  Dec11   0:00 /usr/libexec/gsd-print-notifications
takeru      2859  0.0  0.0 680416  7656 ?        Ssl  Dec11   0:00 /usr/libexec/gsd-rfkill
takeru      2864  0.0  0.0 393248  7068 ?        Ssl  Dec11   0:00 /usr/libexec/gsd-screensaver-proxy
takeru      2869  0.0  0.0 625636 11680 ?        Ssl  Dec11   0:08 /usr/libexec/gsd-sharing
takeru      2872  0.0  0.0 616448 11352 ?        Ssl  Dec11   0:00 /usr/libexec/gsd-smartcard
takeru      2873  0.0  0.0 473336  9392 ?        Ssl  Dec11   0:00 /usr/libexec/gsd-sound
takeru      2875  0.0  0.0 690332  9984 ?        Ssl  Dec11   0:00 /usr/libexec/gsd-usb-protection
takeru      2877  0.0  0.0 617624 11232 ?        Ssl  Dec11   0:00 /usr/libexec/gsd-wwan
takeru      2907  0.0  0.1 513016 19384 ?        Ssl  Dec11   0:00 /usr/bin/abrt-applet --gapplication-service
takeru      2988  0.0  0.1 2984136 23292 ?       Ssl  Dec11   0:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
takeru      2990  0.0  0.0 622032 12736 ?        Ssl  Dec11   0:00 /usr/libexec/gvfs-udisks2-volume-monitor
takeru      2991  0.0  0.1 426400 25660 ?        S<Lsl Dec11   6:57 /usr/bin/pipewire-pulse
takeru      2998  0.0  0.2 976244 36740 ?        SLsl Dec11   0:01 /usr/libexec/goa-daemon
takeru      3025  0.0  0.0 531408  6940 ?        Ssl  Dec11   0:00 /usr/libexec/gvfs-mtp-volume-monitor
takeru      3034  0.0  0.0 392724  7516 ?        Ssl  Dec11   0:08 /usr/libexec/gvfsd-metadata
takeru      3037  0.0  0.0 533284  7668 ?        Ssl  Dec11   0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
takeru      3054  0.0  0.0 693620 10008 ?        Ssl  Dec11   0:06 /usr/libexec/goa-identity-service
takeru      3063  0.0  0.0 612512  8200 ?        Ssl  Dec11   0:02 /usr/libexec/gvfs-afc-volume-monitor
takeru      3086  0.0  0.0 537768  8216 ?        Ssl  Dec11   0:00 /usr/bin/gnome-keyring-daemon --start --foreground --components=secrets
takeru      3092  0.0  0.2 2024820 41916 ?       Ssl  Dec11   0:08 /usr/libexec/evolution-calendar-factory
takeru      3099  0.0  0.0 531848  7344 ?        Ssl  Dec11   0:00 /usr/libexec/gvfs-goa-volume-monitor
takeru      3116  0.0  0.3 545308 49596 ?        Sl   Dec11   3:24 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.WRDGH3 -listenfd 4 -listenfd 5 -displayfd 6 -initfd 7 -byteswappedclients -enable-ei-portal
takeru      3172  0.0  0.1 985960 23932 ?        Ssl  Dec11   0:00 /usr/libexec/evolution-addressbook-factory
root        3211  0.0  0.0 554300 13748 ?        Ssl  Dec11   0:00 /usr/sbin/abrt-dbus -t133
takeru      3453  0.0  0.1 1387840 17944 ?       Ssl  Dec11   0:02 /usr/libexec/xdg-desktop-portal
takeru      3596  0.0  0.0 632216 14212 ?        Sl   Dec11   0:00 /usr/libexec/gsd-printer
takeru      3664  0.0  0.0 830928  8644 ?        Ssl  Dec11   0:00 /usr/libexec/xdg-document-portal
root        3697  0.0  0.0   2588  1912 ?        Ss   Dec11   0:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
takeru      3759  0.0  0.0 475764 12332 ?        Ssl  Dec11   0:01 /usr/libexec/gsd-xsettings
takeru      3765  0.0  0.1 1057964 29880 ?       Sl   Dec11   0:16 /usr/libexec/mutter-x11-frames
takeru      4189  0.0  0.0 466468  6740 ?        Sl   Dec11   0:00 /usr/libexec/ibus-dconf
takeru      4190  0.0  0.1 731808 24584 ?        Sl   Dec11   0:20 /usr/libexec/ibus-extension-gtk3
takeru      4195  0.0  0.3 1611620 61376 ?       Ssl  Dec11   0:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
takeru      4196  0.1  1.4 3847352 239184 ?      Ssl  Dec11  12:12 /usr/bin/gnome-software --gapplication-service
takeru      4198  0.0  0.5 2191088 93772 ?       Ssl  Dec11   0:04 /usr/libexec/xdg-desktop-portal-gnome
takeru      4205  0.0  0.0 531920  7224 ?        Ssl  Dec11   0:00 /usr/libexec/ibus-portal
takeru      4234  0.0  0.0 250320 10596 ?        Sl   Dec11   0:32 /usr/libexec/ibus-engine-mozc --ibus
takeru      4246  0.0  0.2 268228 35384 ?        SLl  Dec11   0:20 /usr/libexec/mozc/mozc_server
takeru      4282  0.0  0.1 723084 21748 ?        Ssl  Dec11   0:01 /usr/libexec/xdg-desktop-portal-gtk
takeru      4364  1.5  6.7 10261008 1097052 ?    Sl   Dec11 163:08 /usr/lib64/firefox/firefox
takeru      4477  0.0  0.0      0     0 ?        Z    Dec11   0:00 [bwrap] <defunct>
takeru      4511  0.0  0.0      0     0 ?        Z    Dec11   0:00 [bwrap] <defunct>
takeru      4599  0.0  0.0 1066256 2400 ?        Sl   Dec11   0:00 /usr/lib64/firefox/crashhelper 4364 13 /tmp/ 15
takeru      4698  0.0  0.1 1343040 22628 ?       S    Dec11   0:03 /usr/lib64/firefox/firefox -contentproc -ipcHandle 0 -signalPipe 1 -initialChannelId {f793b15b-89e2-4439-b3ab-bd849a5dbfa3} -parentPid 4364 -greomni /usr/lib64/firefox/omni.ja -appomni /usr/lib64/firefox/browser/omni.ja -appDir /usr/lib64/firefox/browser 1 forkserver
takeru      4749  0.0  0.2 1366936 35716 ?       Sl   Dec11   0:00 /usr/lib64/firefox/firefox -contentproc -parentBuildID 20251119102309 -prefsHandle 0:46528 -prefMapHandle 1:281504 -sandboxReporter 2 -chrootClient 3 -ipcHandle 4 -initialChannelId {3f6a1f3b-43d2-450d-88fb-1db4ee91017f} -parentPid 4364 -crashReporter 5 -crashHelper 6 -appDir /usr/lib64/firefox/browser 2 socket
takeru      4770  0.1  2.7 25649380 441744 ?     Sl   Dec11  11:48 /usr/lib64/firefox/firefox -contentproc -isForBrowser -prefsHandle 0:46576 -prefMapHandle 1:281504 -jsInitHandle 2:224660 -parentBuildID 20251119102309 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {8674a978-b994-4806-a0eb-16f562b926c0} -parentPid 4364 -crashReporter 6 -crashHelper 7 -greomni /usr/lib64/firefox/omni.ja -appomni /usr/lib64/firefox/browser/omni.ja -appDir /usr/lib64/firefox/browser 3 tab
takeru      4781  1.2  0.3 1830192 57260 ?       Sl   Dec11 131:44 /usr/lib64/firefox/firefox -contentproc -parentBuildID 20251119102309 -prefsHandle 0:46576 -prefMapHandle 1:281504 -sandboxReporter 2 -chrootClient 3 -ipcHandle 4 -initialChannelId {f7e1b60f-6cae-4d2c-b0ee-4baa1443a93a} -parentPid 4364 -crashReporter 5 -crashHelper 6 -appDir /usr/lib64/firefox/browser 4 rdd
