loop:1,season:59345780,P_air:4.989179294989851,P_ice:0,P_rego:0.0108207050101484,T_sub:214.2795347109636
38,523.2500798328691,0,521.222580848832,0,527.2900452474702,0
39,520.104058189023,0,518.006435755265,0,524.136759087663,0
40,516.9094754972197,0,514.7377626761336,0,520.9274348461892,0
41,513.6680698274953,0,511.4186532585526,0,517.6641835542273,0
42,510.3815948647451,0,508.0511962626596,0,514.3491065172185,0
43,507.0518232455701,0,504.6374664875099,0,510.9842997019985,0
44,503.6805495990885,0,501.1795274884428,0,507.5718579985332,0
45,500.2695933715331,0,497.6794907118235,0,504.1138793511459,0
46,496.8208014978212,0,494.1394255072174,0,500.6124687643584,0
47,493.3360509705857,0,490.5614340796577,0,497.0697421952722,0
48,489.8172513469933,0,486.9476656247862,0,493.4878303488399,0
49,486.2663472251814,0,483.3002171046457,0,489.8688823947523,0
50,482.6853207145775,0,479.6212766019659,0,486.215069625341,0
51,479.0761939172066,0,475.9130413795698,0,482.5285890732301,0
52,475.4410314299564,0,472.1776872520702,0,478.8116671051822,0
53,471.7819428703424,0,468.4175319271964,0,475.0665630050605,0
54,468.1010854203455,0,464.6347979999384,0,471.2955725538942,0
55,464.4006663742493,0,460.8318476582763,0,467.5044468520796,0
56,460.6829456670022,0,457.0110876505556,0,463.7010072147356,0
57,456.9502383494065,0,453.1748402483485,0,459.8893797139881,0
58,453.2049169655347,0,449.3257369204749,0,456.0728202782173,0
59,449.4494137762625,0,445.4661501113966,0,452.2540147166746,0
60,445.6862227609748,0,441.5985777086441,0,448.4353332156189,0
61,441.91790131764,0,437.7261598685581,0,444.6191472032105,0
62,438.1470715699763,0,433.8511119947453,0,440.8076061238397,0
63,434.3764211798433,0,429.9762968826662,0,437.003076220489,0
64,430.6087035538445,0,426.1047129099206,0,433.2077360552523,0
65,426.8467373260298,0,422.2391136372331,0,429.4240385390115,0
66,423.0934049942184,0,418.3825799890803,0,425.6543182413928,0
67,419.3516505864035,0,414.5381301674088,0,421.9011648293263,0
68,415.6244762366845,0,410.7088490538658,0,418.1671121471251,0
69,411.914937557606,0,406.8979852977817,0,414.4548877170867,0
70,408.2261377082355,0,403.1087161846003,0,410.7672332855699,0
71,404.5612200749856,0,399.3443789063731,0,407.106999101353,0
72,400.9233595051963,0,395.6083088976925,0,403.4771164871636,0
73,397.3157520617377,0,391.9038588934148,0,399.8805460545271,0
74,393.7416032999537,0,388.234476766177,0,396.3203254333852,0
